95,Bazigit Atajev,http://www.fightmetric.com/fighter-details/fd7acf42bd6e7e95
96,Rich Attonito,http://www.fightmetric.com/fighter-details/210935fd21670f6d
97,Olivier Aubin-Mercier,http://www.fightmetric.com/fighter-details/55ee431411ccf07a
98,Pat Audinwood,http://www.fightmetric.com/fighter-details/196ed28337adc630
99,Marcus Aurelio,http://www.fightmetric.com/fighter-details/04643fd03d9159cc
100,David Avellan,http://www.fightmetric.com/fighter-details/956dcac65e7b34d6
101,Blas Avena,http://www.fightmetric.com/fighter-details/8753e125f4499816
102,Levi Avera,http://www.fightmetric.com/fighter-details/ba5c6eeb8ef45f5c
103,Anthony Avila,http://www.fightmetric.com/fighter-details/033d19259f589457
104,Saad Awad,http://www.fightmetric.com/fighter-details/da603332ad41f165
105,Luiz Azeredo,http://www.fightmetric.com/fighter-details/063649e21bc9d6d5
106,Luciano Azevedo,http://www.fightmetric.com/fighter-details/9bcfb40dbcd50568
108,Niklas Backstrom,http://www.fightmetric.com/fighter-details/39cc64bf0a269db9
109,Seth Baczynski,http://www.fightmetric.com/fighter-details/fd5b6598a3b70c0a
110,Ryan Bader,http://www.fightmetric.com/fighter-details/c0ab242c40decc55
111,Ali Bagautinov,http://www.fightmetric.com/fighter-details/3dd92ff9fb0412b3
112,Siyar Bahadurzada,http://www.fightmetric.com/fighter-details/aec185309b4843d0
113,Shamar Bailey,http://www.fightmetric.com/fighter-details/e2b8186b618b00c4
114,Bryan Baker,http://www.fightmetric.com/fighter-details/898337ef520fe4d3
115,Scott Baker,http://www.fightmetric.com/fighter-details/7d5b12de1625984e
116,Marcin Bandel,http://www.fightmetric.com/fighter-details/5c2ce761399dc9c5
117,Tae Hyun,http://www.fightmetric.com/fighter-details/9a2d3567abc02e34
118,Yohan Banks,http://www.fightmetric.com/fighter-details/c50ea21fe9ef478d
119,Antonio Banuelos,http://www.fightmetric.com/fighter-details/9ddfb3369a3b0394
120,Renan Barao,http://www.fightmetric.com/fighter-details/2c99576fefe53c7c
121,Junior Barata,http://www.fightmetric.com/fighter-details/06dced58ca24a6bd
122,Bryan Barberena,http://www.fightmetric.com/fighter-details/a331233f597090a5
123,Edson Barboza,http://www.fightmetric.com/fighter-details/64a50dad704d1d49
124,Luke Barnatt,http://www.fightmetric.com/fighter-details/172c2135e70f87b7
125,Josh Barnett,http://www.fightmetric.com/fighter-details/ad3f53c454cbbead
126,Chris Barnhizer,http://www.fightmetric.com/fighter-details/91e69a1c3c87325b
127,David Baron,http://www.fightmetric.com/fighter-details/80c0bed43da0e27b
128,Phil Baroni,http://www.fightmetric.com/fighter-details/1652f3213655b935
129,Dan Barrera,http://www.fightmetric.com/fighter-details/f12f979b657ab876
130,Carlos Barreto,http://www.fightmetric.com/fighter-details/a220be6d41d6f97d
131,Jose Barreto,http://www.fightmetric.com/fighter-details/c32eab6c2119e989
132,David Barrios,http://www.fightmetric.com/fighter-details/e6015889f50075d2
133,Ricardo Barros,http://www.fightmetric.com/fighter-details/d26394fc0e8e880a
134,Alexandre Barros,http://www.fightmetric.com/fighter-details/8fd1f27e86661ede
135,Francimar Barroso,http://www.fightmetric.com/fighter-details/b69f24c500d783e7
136,Pat Barry,http://www.fightmetric.com/fighter-details/658c3465581ae46b
137,Stephen Bass,http://www.fightmetric.com/fighter-details/1cecc8fe6748a532
138,Sean Bassett,http://www.fightmetric.com/fighter-details/2c733e059462c1dc
139,Ryan Bastianelli,http://www.fightmetric.com/fighter-details/29508aff4d93cbbe
140,Shayna Baszler,http://www.fightmetric.com/fighter-details/8ef4a91ac694b7ce
141,Chris Beal,http://www.fightmetric.com/fighter-details/55f446032177b119
142,Rudy Bears,http://www.fightmetric.com/fighter-details/74f13066b1417ef3
143,Jeff Bedard,http://www.fightmetric.com/fighter-details/93bf96be327fcd98
144,Johnny Bedford,http://www.fightmetric.com/fighter-details/ffc3e6daaa6da0b7
145,Chase Beebe,http://www.fightmetric.com/fighter-details/b16a7e6a627e9789
146,Lyle Beerbohm,http://www.fightmetric.com/fighter-details/babc6b5745335f18
147,Mirsad Bektic,http://www.fightmetric.com/fighter-details/cbd3e590a85b18c5
148,Alan Belcher,http://www.fightmetric.com/fighter-details/4130a743d9d22163
149,Vitor Belfort,http://www.fightmetric.com/fighter-details/0ee783aa00e468f0
150,Joey Beltran,http://www.fightmetric.com/fighter-details/46baf0f57edfa4df
