Kotetsu Boku,[u'Joachim Hansen']
Marcos Galvao,"[u'Damacio Page', u'Brian Bowles']"
Frankie Edgar,"[u'Cub Swanson', u'BJ Penn', u'Charles Oliveira', u'Jose Aldo', u'Benson Henderson', u'Benson Henderson', u'Gray Maynard', u'Gray Maynard', u'BJ Penn', u'BJ Penn', u'Matt Veach', u'Sean Sherk', u'Hermes Franca', u'Gray Maynard', u'Spencer Fisher', u'Mark Bocek', u'Tyson Griffin']"
Alexandre Ferreira,[u'Vladimir Matyushenko']
Dennis Reed,[u'Rich Franklin']
Michael Diaz,[u'Yohan Banks']
Edwin Aguilar,[u'Martin Kampmann']
Simeon Thoresen,"[u'David Mitchell', u'Seth Baczynski', u'Besam Yousef']"
Wanderlei Silva,"[u'Brian Stann', u'Rich Franklin', u'Cung Le', u'Chris Leben', u'Michael Bisping', u'Rich Franklin', u'Quinton Jackson', u'Keith Jardine', u'Chuck Liddell', u'Dan Henderson', u'Mirko Filipovic', u'Kazuyuki Fujita', u'Ricardo Arona', u'Ricardo Arona', u'Kazuhiro Nakamura', u'Hidehiko Yoshida', u'Mark Hunt', u'Quinton Jackson', u'Yuki Kondo', u'Ikuhisa Minowa', u'Quinton Jackson', u'Hidehiko Yoshida', u'Kazushi Sakuraba', u'Hiromitsu Kanehara', u'Tatsuya Iwasaki', u'Mirko Filipovic', u'Kiyoshi Tamura', u'Alexander Otsuka', u'Kazushi Sakuraba', u'Shungo Oyama', u'Kazushi Sakuraba', u'Dan Henderson', u'Gilbert Yvel', u'Guy Mezger', u'Tito Ortiz', u'Bob Schrijber', u'Daijiro Matsui', u'Carl Malenko', u'Tony Petarra', u'Vitor Belfort']"
Iuri Alcantara,"[u'Russell Doane', u'Vaughan Lee', u'Wilson Reis', u'Urijah Faber', u'Iliarde Santos', u'Pedro Nobre', u'Hacran Dias', u'Michihiro Omigawa', u'Felipe Arantes', u'Ricardo Lamas']"
Kerry Schall,[u'Keith Jardine']
Tony Halme,[u'Randy Couture']
Mark Hall,"[u'Don Frye', u'Don Frye', u'Koji Kitao', u'Trent Jenkins', u'Paul Varelans', u'Harold Howard']"
Chris Holdsworth,"[u'Chico Camus', u'Davey Grant']"
Amilcar Alves,"[u'Charlie Brenneman', u'Mike Pierce']"
Bobby Green,"[u'Edson Barboza', u'Josh Thomson', u'Pat Healy', u'James Krause', u'Jacob Volkmann', u'Matt Ricehouse', u'James Terry', u'James Reese', u'Charon Spain', u'Gesias Cavalcante', u'Dan Lauzon']"
Tokimitsu Ishizawa,"[u'Katsuyori Shibata', u'Yoshihiro Akiyama', u'Ryan Gracie', u'Ryan Gracie']"
David Terrell,"[u'Scott Smith', u'Evan Tanner', u'Matt Lindland']"
Ryan Bader,"[u'Rafael Cavalcante', u'Anthony Perosh', u'Glover Teixeira', u'Vladimir Matyushenko', u'Lyoto Machida', u'Quinton Jackson', u'Jason Brilz', u'Tito Ortiz', u'Jon Jones', u'Keith Jardine', u'Eric Schafer', u'Carmelo Marrero', u'Vinny Magalhaes']"
Courtney Buck,"[u'Fredson Paixao', u'Brandon Visher']"
Raphael Assuncao,"[u'Bryan Caraway', u'Pedro Munhoz', u'T.J. Dillashaw', u'Vaughan Lee', u'Mike Easton', u'Issei Tamura', u'Johnny Eduardo', u'Erik Koch', u'LC Davis', u'Diego Nunes', u'Urijah Faber', u'Yves Jabouin', u'Jameel Massouh']"
Tim Means,"[u'Hernani Perpetuo', u'Neil Magny', u'Danny Castillo', u'Jorge Masvidal', u'Justin Salas', u'Bernardo Magalhaes']"
Gary Quan,[u'Gilbert Melendez']
Leandro Silva,"[u'Charlie Brenneman', u'Francisco Trinaldo', u'Ildemar Alcantara']"
Brian Gassaway,"[u'John Alessio', u'Diego Sanchez']"
Richie Vaculik,"[u'Louis Smolka', u'Justin Scoggins']"
John Dixson,[u'Kazunari Murakami']
Alvin Robinson,"[u'Mark Bocek', u'Nate Diaz', u'Jorge Gurgel', u'Kenny Florian']"
Jingliang Li,"[u'Nordine Taleb', u'David Michaud']"
Cain Velasquez,"[u'Brock Lesnar', u'Ben Rothwell', u'Cheick Kongo', u'Denis Stojnic', u""Jake O'Brien"", u'Brad Morris', u'Jeremiah Constant', u'Jesse Fujarczyk']"
Eric Schambari,"[u'Bryan Baker', u'Logan Clark', u'Art Santore']"
Miguel Linares,"[u'Anthony Figueroa', u'Jose Palacios']"
Mike Joy,[u'Richard Crunkilton']
Tony Johnson,[u'Eric Lawson']
Kenny Florian,"[u'Jose Aldo', u'Diego Nunes', u'Gray Maynard', u'Takanori Gomi', u'Clay Guida', u'BJ Penn', u'Joe Stevenson', u'Roger Huerta', u'Joe Lauzon', u'Din Thomas', u'Alvin Robinson', u'Dokonjonosuke Mishima', u'Sean Sherk', u'Sam Stout', u'Kit Cope', u'Alex Karalexis', u'Diego Sanchez', u'Bobby McAndrews']"
Kelly Dullanty,[u'Matt Serra']
Mike Altman,[u'Cung Le']
Jorge Gurgel,"[u'Adriano Martins', u'Joe Duarte', u'Billy Vaughan', u'KJ Noons', u'Billy Evangelista', u'Conor Heun', u'Aaron Riley', u'Cole Miller', u'John Halverson', u'Alvin Robinson', u'Diego Saraiva', u'Danny Abbadi', u'Mark Hominick']"
Kyle Sturgeon,[u'Nobuhiko Takada']
Tarec Saffiedine,"[u'Rory MacDonald', u'Nate Marquardt', u'Roger Bowling', u'Tyler Stinson', u'Scott Smith', u'Tyron Woodley', u'Nate Moore', u'James Terry', u'Seichi Ikemoto']"
Anthony Morrison,"[u'Chad Mendes', u'Mike Brown']"
Chad Reiner,"[u'Anthony Johnson', u'Josh Burkman']"
Jules Bruchez,[u'Eliot Marshall']
Richard Walsh,"[u'Kiichi Kunimoto', u'Chris Indich']"
Katsunori Kikuno,"[u'Sam Sicilia', u'Tony Ferguson', u'Quinn Mulhern', u'Daisuke Nakamura', u'Gesias Cavalcante', u'Kuniyoshi Hironaka', u'Eddie Alvarez', u'Andre Amado']"
Courtney Turner,[u'Chris Brennan']
Eric Schafer,"[u'Jorge Rivera', u'Aaron Simpson', u'Jason Brilz', u'Ryan Bader', u'Antonio Mendes', u'Houston Alexander', u'Stephan Bonnar', u'Michael Bisping', u'Rob MacDonald']"
Dhiego Lima,[u'Eddie Gordon']
Mike Lullo,"[u'Robert Peralta', u'Edson Barboza']"
Chris Cope,"[u'Matt Brown', u'Che Mills', u""Chuck O'Neil"", u'Ron Keslar']"
Tatsuya Kawajiri,"[u'Clay Guida', u'Sean Soriano', u'Michihiro Omigawa', u'Donald Sanchez', u'Kazuyuki Miyata', u'Joachim Hansen', u'Drew Fickett', u'Gilbert Melendez', u'Josh Thomson', u'Shinya Aoki', u'Kazunori Yokota', u'Melchor Manibusan', u'Gesias Cavalcante', u'Ross Ebanez', u'Eddie Alvarez', u'Luiz Firmino', u'Kultar Gill', u'Luiz Azeredo', u'Gilbert Melendez', u'Chris Brennan', u'Charles Bennett', u'Takanori Gomi', u'Luiz Firmino']"
Junior Barata,[u'Paul Daley']
Alavutdin Gadjiev,[u'Ralek Gracie']
Carter Williams,[u'Paul Buentello']
Rafael Rebello,"[u'Chris Cariaso', u'Kyle Dietz', u'Kenji Osawa']"
Nick Sanzo,"[u'Jackie Lee', u'Jerry Bohlander']"
Motoki Miyazawa,[u'Kuniyoshi Hironaka']
Brady Fink,[u'Hayato Sakurai']
Chris Tuchscherer,"[u'Mark Hunt', u'Brendan Schaub', u'Tim Hague', u'Gabriel Gonzaga']"
Seth Kleinbeck,"[u'Kyle Noke', u'Sam Spengler']"
Joe Riggs,"[u'Louis Taylor', u'Jay Hieron', u'Phil Baroni', u'Luke Stewart', u'Kazuo Misaki', u'Cory Devela', u'Eugene Jackson', u'Diego Sanchez', u'Mike Swick', u'Nick Diaz', u'Matt Hughes', u'Chris Lytle', u'Ivan Salaverry', u'Joe Doerksen']"
Kazuhisa Watanabe,[u'Hideo Tokoro']
Reza Nasri,[u'Brian Johnston']
Edson Berto,"[u'Yves Edwards', u'KJ Noons', u'Victor Valenzuela']"
Ilir Latifi,"[u'Jan Blachowicz', u'Chris Dempsey', u'Cyrille Diabate', u'Gegard Mousasi']"
Kamal Shalorus,"[u'Khabib Nurmagomedov', u'Jim Miller', u'Bart Palaszewski', u'Jamie Varner', u'Dave Jansen', u'Will Kerr']"
Tomoya Miyashita,[u'Keisuke Fujiwara']
Tomasz Drwal,"[u'Dave Branch', u'Rousimar Palhares', u'Drew McFedries', u'Mike Ciesnolevicz', u'Ivan Serati', u'Thiago Silva']"
Yosdenis Cedeno,"[u'Chad Laprise', u'Jerrod Sanders', u'Ernest Chavez']"
Danillo Villefort,"[u'Nate James', u'Jesse Lennox', u'Mike Campbell']"
Cal Worsham,"[u'David Abbott', u'Zane Frazier', u'Paul Varelans']"
Jake Rosholt,"[u'Kendall Grove', u'Chris Leben', u'Dan Miller', u'Nissen Osterneck']"
Justin Scoggins,"[u'John Moraga', u'Dustin Ortiz', u'Will Campuzano', u'Richie Vaculik']"
Roger Hollett,"[u'Fabio Maldonado', u'Matt Hamill']"
Yaotzin Meza,"[u'Sergio Pettis', u'Chico Camus', u'John Albert', u'Chad Mendes']"
Daisuke Nakamura,"[u'Katsunori Kikuno', u'Justin Wilcox', u'Mitsuhiro Ishida', u'Hideo Tokoro', u'Andy Ologun', u'Bu-Kyung Jung', u'Seichi Ikemoto', u'Marcus Aurelio']"
Antony Rea,[u'Rich Franklin']
Mirsad Bektic,[u'Chas Skelly']
Josh Samman,"[u'Eddie Gordon', u'Kevin Casey']"
Andrews Nakahara,"[u'Ryo Chonan', u'Shungo Oyama', u'Kazushi Sakuraba']"
Ryan LaFlare,"[u'John Howard', u'Court McGee', u'Santiago Ponzinibbio']"
Harold Howard,"[u'Mark Hall', u'Roland Payne', u'Steve Jennum']"
Mario Miranda,"[u'Aaron Simpson', u'Demian Maia', u'David Loiseau', u'Gerald Harris']"
Jason Day,"[u'Kendall Grove', u'Michael Bisping', u'Alan Belcher', u'Patrick Cote']"
Nate Mohr,"[u'Dennis Siver', u'Manvel Gamburyan', u'Luke Caudillo', u'Kurt Pellegrino']"
Hans Nijman,[u'Kazuyuki Fujita']
Ido Pariente,[u'Jake Shields']
Chance Farrar,"[u'Micah Miller', u'Urijah Faber']"
Brad Gumm,"[u'CJ Fernandes', u'Shonie Carter']"
Jamie Varner,"[u'James Krause', u'Abel Trujillo', u'Gleison Tibau', u'Melvin Guillard', u'Joe Lauzon', u'Edson Barboza', u'Shane Roller', u'Donald Cerrone', u'Kamal Shalorus', u'Benson Henderson', u'Donald Cerrone', u'Marcus Hicks', u'Rob McCullough', u'Sherron Leggett', u'Jason Gilliam', u'Hermes Franca']"
Danny Castillo,"[u'Tony Ferguson', u'Charlie Brenneman', u'Edson Barboza', u'Tim Means', u'Paul Sass', u'Michael Johnson', u'John Cholish', u'Anthony Njokuani', u'Shamar Bailey', u'Jacob Volkmann', u'Joe Stevenson', u'Will Kerr', u'Dustin Poirier', u'Anthony Pettis', u'Shane Roller', u'Ricardo Lamas', u'Phil Cardella', u'Rafael Dias', u'Donald Cerrone']"
Jeremiah Constant,[u'Cain Velasquez']
Charles Rosa,[u'Dennis Siver']
Paul Creighton,[u'BJ Penn']
Satoshi Ishii,"[u'Fedor Emelianenko', u'Jerome LeBanner', u'Ikuhisa Minowa', u'Hidehiko Yoshida']"
Travis Browne,"[u'Brendan Schaub', u'Fabricio Werdum', u'Josh Barnett', u'Alistair Overeem', u'Gabriel Gonzaga', u'Chad Griggs', u'Rob Broughton', u'Stefan Struve', u'Cheick Kongo', u'James McSweeney']"
Ricardo Romero,"[u'Kyle Kingsbury', u'Seth Petruzelli']"
Alexander Otsuka,"[u'Murilo Rua', u'Kenichi Yamamoto', u'Yoshihisa Yamamoto', u'Anderson Silva', u'Sanae Kikuta', u'Wanderlei Silva', u'Guy Mezger', u'Mike Bourke', u'Ken Shamrock', u'Igor Vovchanchyn', u'Renzo Gracie', u'Marco Ruas']"
Logan Clark,"[u'Scott Harper', u'Eric Schambari', u'Blas Avena', u'Steve Byrnes']"
Tamdan McCrory,"[u'John Howard', u'Ryan Madigan', u'Dustin Hazelett', u'Luke Cummo', u'Akihiro Gono', u'Pete Spratt']"
Justin Lawrence,"[u'Daniel Pineda', u'Max Holloway', u'John Cofer', u'Max Martyniouk']"
Chris Price,"[u'Ed Herman', u'Kendall Grove']"
Abongo Humphrey,"[u'Mike Kyle', u'George Bush', u'Brett Rogers']"
Jaime Jara,[u'Rashad Evans']
Buck Meredith,[u'Luke Rockhold']
Joe Duarte,"[u'Ryan Couture', u'Jorge Gurgel', u'Saad Awad']"
Jesse Forbes,"[u'Ryan Jensen', u'Nick Catone', u'Bryan Baker', u'Matt Hamill']"
Hernani Perpetuo,"[u'Tim Means', u'Jordan Mein']"
Ralph Dillon,[u'Rich Franklin']
Tyler Stinson,"[u'Jordan Mein', u'Tarec Saffiedine', u'Eduardo Pamplona']"
Erik Koch,"[u'Daron Cruickshank', u'Rafaello Oliveira', u'Dustin Poirier', u'Ricardo Lamas', u'Jonathan Brookins', u'Raphael Assuncao', u'Francisco Rivera', u'Bendy Casimir', u'Chad Mendes', u'Jameel Massouh']"
Andrei Arlovski,"[u'Brendan Schaub', u'Sergei Kharitonov', u'Brett Rogers', u'Fedor Emelianenko', u'Roy Nelson', u'Ben Rothwell', u""Jake O'Brien"", u'Fabricio Werdum', u'Marcio Cruz', u'Tim Sylvia', u'Tim Sylvia', u'Paul Buentello', u'Justin Eilers', u'Tim Sylvia', u'Wesley Correira', u'Vladimir Matyushenko', u'Ian Freeman', u'Pedro Rizzo', u'Ricco Rodriguez', u'Aaron Brink']"
John Devine,"[u'Brandon Cash', u'Daniel Cormier']"
Bobby Hoffman,"[u'Josh Barnett', u'Mark Robinson', u'Maurice Smith']"
Akira Corassani,"[u'Max Holloway', u'Dustin Poirier', u'Maximo Blanco', u'Robert Peralta', u'Andy Ogle']"
Steve Byrnes,[u'Logan Clark']
Jose Landi-Jons,"[u'Carlos Newton', u'Daijiro Matsui']"
Devin Johnson,[u'Nik Theotikos']
Eddy Ellis,[u'Steve Berger']
Carlos Condit,"[u'Tyron Woodley', u'Martin Kampmann', u'Johny Hendricks', u'Georges St-Pierre', u'Nick Diaz', u'Dan Hardy', u'Rory MacDonald', u'Jake Ellenberger', u'Martin Kampmann', u'Hiromitsu Miura', u'Carlo Prater', u'Brock Larson', u'John Alessio', u'Kyle Jensen', u'Jake Shields']"
Darren Elkins,"[u'Lucas Martins', u'Jeremy Stephens', u'Hatsu Hioki', u'Chad Mendes', u'Antonio Carvalho', u'Steven Siler', u'Diego Brandao', u'Tiequan Zhang', u'Michihiro Omigawa', u'Charles Oliveira', u'Duane Ludwig']"
Jeff Monson,"[u'Fedor Emelianenko', u'Daniel Cormier', u'Sergei Kharitonov', u'Josh Barnett', u'Kazuyuki Fujita', u'Tim Sylvia', u'Anthony Perosh', u'Marcio Cruz', u'Ricco Rodriguez', u'Chuck Liddell', u'Tim Lajcik']"
Jimmy Ambriz,"[u'Ikuhisa Minowa', u'Sergei Kharitonov', u'Ricco Rodriguez']"
Jesse Taylor,"[u'Luke Rockhold', u'Jay Hieron', u'CB Dollaway']"
Nobuhiro Obiya,"[u'Luiz Firmino', u'Gilbert Melendez']"
Rick Story,"[u'Gunnar Nelson', u'Leonardo Mafra', u'Kelvin Gastelum', u'Brian Ebersole', u'Mike Pyle', u'Quinn Mulhern', u'Demian Maia', u'Brock Jardine', u'Martin Kampmann', u'Charlie Brenneman', u'Thiago Alves', u'Johny Hendricks', u'Dustin Hazelett', u'Nick Osipczak', u'Jesse Lennox', u'Brian Foster', u'John Hathaway']"
Kurt Pellegrino,"[u'Gleison Tibau', u'George Sotiropoulos', u'Fabricio Camoes', u'Josh Neer', u'Rob Emerson', u'Thiago Tavares', u'Nate Diaz', u'Alberto Crane', u'Joe Stevenson', u'Nate Mohr', u'Junior Assuncao', u'Drew Fickett', u'Mac Danzig']"
Paul Georgieff,[u'Jonathan Goulet']
Antonio McKee,"[u'Shinya Aoki', u'Jacob Volkmann', u'Jason Black']"
Ryan Jensen,"[u'Jason MacDonald', u'Court McGee', u'Jesse Forbes', u'Mark Munoz', u'Steve Steinbeiss', u'Wilson Gouveia', u'Joey Villasenor', u'Demian Maia', u'Thales Leites']"
Joe Soto,[u'T.J. Dillashaw']
Dave Dalgliesh,[u'Thiago Silva']
Nate Moore,"[u'Jason High', u'Nathan Coy', u'Tarec Saffiedine', u'Louis Taylor']"
Maurice Eazel,[u'Cole Escovedo']
Gilbert Rael,[u'Nate Diaz']
Jason Dent,"[u'George Sotiropoulos', u'Cameron Dollar', u'Gleison Tibau', u'Roger Huerta']"
Al Iaquinta,"[u'Ross Pearson', u'Rodrigo Damm', u'Mitch Clarke', u'Kevin Lee', u'Piotr Hallmann', u'Ryan Couture', u'Michael Chiesa']"
Jorge Ortiz,[u'Eugene Jackson']
Jason Fairn,[u'Guy Mezger']
Jimi Manuwa,"[u'Alexander Gustafsson', u'Ryan Jimmo', u'Cyrille Diabate', u'Kyle Kingsbury']"
Isaiah Hill,"[u'Bobby Stack', u'Alexander Trevino', u'Billy Evangelista']"
Dennis Siver,"[u'Charles Rosa', u'Manvel Gamburyan', u'Cub Swanson', u'Nam Phan', u'Diego Nunes', u'Donald Cerrone', u'Matt Wiman', u'George Sotiropoulos', u'Andre Winner', u'Spencer Fisher', u'Ross Pearson', u'Paul Kelly', u'Dale Hartt', u'Nate Mohr', u'Melvin Guillard', u'Gray Maynard', u'Naoyuki Kotani', u'Jess Liaudin']"
Emmanuel Yarborough,"[u'Daiju Takase', u'Keith Hackney']"
Thomas Ramirez,[u'Don Frye']
Maiquel Falcao,[u'Gerald Harris']
Rich Franklin,"[u'Cung Le', u'Wanderlei Silva', u'Forrest Griffin', u'Chuck Liddell', u'Vitor Belfort', u'Wanderlei Silva', u'Dan Henderson', u'Matt Hamill', u'Travis Lutter', u'Anderson Silva', u'Yushin Okami', u'Jason MacDonald', u'Anderson Silva', u'David Loiseau', u'Nate Quarry', u'Evan Tanner', u'Ken Shamrock', u'Curtis Stout', u'Jorge Rivera', u'Ralph Dillon', u'Leo Sylvest', u'Lyoto Machida', u'Edwin DeWees', u'Evan Tanner', u'Antony Rea', u'Yan Pellerin', u'Marvin Eastman', u'Aaron Brink', u'Dennis Reed']"
Richie Hightower,[u'Troy Mandaloniz']
Joe Charles,"[u'Vitor Belfort', u'Scott Bessac', u'Dan Severn', u'Kevin Rosier']"
Raymond Daniels,[u'Jeremiah Metcalf']
Francois Botha,[u'Yoshihiro Akiyama']
Leonardo Santos,"[u'Efrain Escudero', u'Norman Parke']"
Derek Getzel,[u'Caros Fodor']
Tim Gorman,"[u'Thomas Almeida', u'Mitch Gagnon']"
Mario Sperry,"[u'Tsuyoshi Kohsaka', u'Hirotaka Yokoi', u'Mike Bencic', u'Yuki Kondo', u'Andrei Kopylov', u'Murilo Rua', u'Igor Vovchanchyn']"
Caros Fodor,"[u'Sam Stout', u'Pat Healy', u'Justin Wilcox', u'James Terry', u'David Douglas', u'Derek Getzel', u'Thomas Diagne']"
Amir Rahnavardi,"[u'Keith Jardine', u'Gary Goodridge']"
Alex Serdyukov,"[u'Johny Hendricks', u'Luis Santos', u'Ryan Stonitsch', u'John Alessio', u'Scott Norton']"
Scott Jorgensen,"[u'Wilson Reis', u'Danny Martinez', u'Zach Makovsky', u'Urijah Faber', u'John Albert', u'Eddie Wineland', u'Renan Barao', u'Jeff Curran', u'Ken Stone', u'Dominick Cruz', u'Brad Pickett', u'Antonio Banuelos', u'Chad George', u'Takeya Mizugaki', u'Noah Thomas', u'Antonio Banuelos', u'Frank Gomez', u'Kenji Osawa', u'Damacio Page']"
Phillipe Nover,"[u'Rob Emerson', u'Kyle Bradley', u'Efrain Escudero']"
Trenell Young,"[u'Mark Hominick', u'Chris Lytle']"
Charles Bennett,"[u'KJ Noons', u'Tatsuya Kawajiri', u'Ken Kaneko', u'Dokonjonosuke Mishima', u'Yoshiro Maeda', u'Takanori Gomi']"
Angelo Antonio,[u'Mauricio Rua']
Andrei Semenov,"[u'Denis Kang', u'Ivan Salaverry', u'Ricardo Almeida']"
Lucas Stark,[u'Ryan Couture']
Chalid Arrab,"[u'Kazuhiro Nakamura', u'Rodney Faverus']"
Fabiano Iha,"[u'Din Thomas', u'Caol Uno', u'Phil Johns', u'Daiju Takase', u'Laverne Clark', u'Dave Menne', u'Frank Trigg', u'Laverne Clark']"
Garett Whiteley,"[u'Vinc Pichel', u'Alan Patrick']"
Tyrone Roberts,[u'David Dodd']
CB Dollaway,"[u'Francis Carmont', u'Cezar Ferreira', u'Tim Boetsch', u'Daniel Sarafian', u'Jason Miller', u'Jared Hamman', u'Mark Munoz', u'Joe Doerksen', u'Goran Reljic', u'Jay Silva', u'Tom Lawlor', u'Mike Massenzio', u'Jesse Taylor', u'Amir Sadollah']"
Cory Peterson,[u'Sergei Kharitonov']
Jason Medina,[u'Frank Trigg']
Robert Whittaker,"[u'Clint Hester', u'Mike Rhodes', u'Stephen Thompson', u'Court McGee', u'Colton Smith']"
Hector Urbina,[u'Edgar Garcia']
Egan Inoue,"[u'Guy Mezger', u'Carl Malenko', u'Minoru Toyonaga']"
Issei Tamura,"[u'T.J. Dillashaw', u'Raphael Assuncao', u'Tiequan Zhang']"
Dan Lauzon,"[u'Efrain Escudero', u'Cole Miller', u'Bobby Green', u'Spencer Fisher']"
Bernardo Magalhaes,"[u'Henry Martinez', u'Tim Means']"
Murilo Bustamante,"[u'Makoto Takimoto', u'Amar Suloev', u'Dan Henderson', u'Ikuhisa Minowa', u'Masanori Suda', u'Ryuta Sakurai', u'Kazuhiro Nakamura', u'Dan Henderson', u'Quinton Jackson', u'Matt Lindland', u'Dave Menne', u'Chuck Liddell', u'Yoji Anjo']"
Jordan Radev,"[u'Dean Lister', u'Drew McFedries']"
Hiroyuki Takaya,"[u'Georgi Karakhanyan', u'Takeshi Inoue', u'Kazuyuki Miyata', u'Robert Peralta', u'Bibiano Fernandes', u'Chase Beebe', u'Joachim Hansen', u'Michihiro Omigawa', u'Hideo Tokoro', u'Bibiano Fernandes', u'Yoshiro Maeda', u'Cub Swanson', u'Leonard Garcia']"
Louis Smolka,"[u'Richie Vaculik', u'Chris Cariaso', u'Alptekin Ozkilic']"
Edson Barboza,"[u'Bobby Green', u'Evan Dunham', u'Donald Cerrone', u'Danny Castillo', u'Rafaello Oliveira', u'Lucas Martins', u'Jamie Varner', u'Terry Etim', u'Ross Pearson', u'Anthony Njokuani', u'Mike Lullo']"
Rashid Magomedov,"[u'Rodrigo Damm', u'Tony Martin']"
Satoru Kitaoka,"[u'Will Brooks', u'Shinya Aoki', u'Willamy Freire']"
Alexander Gustafsson,"[u'Jimi Manuwa', u'Jon Jones', u'Mauricio Rua', u'Thiago Silva', u'Vladimir Matyushenko', u'Matt Hamill', u'Cyrille Diabate', u'Phil Davis', u'Jared Hamman']"
Chris Drumm,[u'Evan Esguerra']
David Smith,"[u'Sean Bassett', u'Andrew Montanez', u'Sean Bassett']"
Timothy Elliott,"[u'Joseph Benavidez', u'Ali Bagautinov', u'Louis Gaudinot', u'Jared Papazian', u'John Dodson']"
Renato Verissimo,"[u'Jake Shields', u'Frank Trigg', u'Matt Hughes', u'Carlos Newton']"
Houston Alexander,"[u'Kevin Ferguson', u'Eric Schafer', u'James Irvin', u'Thiago Silva', u'Alessio Sakara', u'Keith Jardine']"
Sean O'Haire,[u'Eric Esch']
Stephan Bonnar,"[u'Anderson Silva', u'Kyle Kingsbury', u'Igor Pokrajac', u'Krzysztof Soszynski', u'Krzysztof Soszynski', u'Mark Coleman', u'Jon Jones', u'Eric Schafer', u'Mike Nickels', u'Forrest Griffin', u'Rashad Evans', u'Keith Jardine', u'James Irvin', u'Sam Hoger', u'Forrest Griffin', u'Lyoto Machida']"
Ernie Verdicia,[u'Oleg Taktarov']
Per Eklund,"[u'Evan Dunham', u'Samy Schiavo', u'Sam Stout']"
Fabio Gurgel,[u'Jerry Bohlander']
Keith Wisniewski,"[u'Ivan Jorge', u'Chris Clements', u'Josh Neer', u'Nick Thompson', u'Shinya Aoki']"
Thiago Alves,"[u'Seth Baczynski', u'Martin Kampmann', u'Papy Abedi', u'Rick Story', u'John Howard', u'Jon Fitch', u'Georges St-Pierre', u'Josh Koscheck', u'Matt Hughes', u'Karo Parisyan', u'Chris Lytle', u'Kuniyoshi Hironaka', u'Tony DeSouza', u'John Alessio', u'Jon Fitch', u'Derrick Noble', u'Ansar Chalangov', u'Spencer Fisher']"
Jorge Masvidal,"[u'James Krause', u'Daron Cruickshank', u'Pat Healy', u'Rustam Khabilov', u'Michael Chiesa', u'Tim Means', u'Justin Wilcox', u'Gilbert Melendez', u'KJ Noons', u'Billy Evangelista', u'Ryan Healy', u'Matt Lee']"
Yoshiaki Yatsu,"[u'Gary Goodridge', u'Gary Goodridge']"
Keith Hackney,"[u'Marco Ruas', u'Joe Son', u'Royce Gracie', u'Emmanuel Yarborough']"
Nick Serra,[u'Benji Radach']
Luke Stewart,"[u'Andre Galvao', u'Joe Riggs', u'Jesse Juarez', u'Tiki Ghosn', u'Bryson Kamaka', u'Sam Liera', u'Jeremiah Metcalf', u'Bill Duvall']"
Mike King,[u'Cathal Pendred']
Jeff Bedard,"[u'Miguel Torres', u'Mike French']"
Mark Kerr,"[u'Muhammed Lawal', u'Yoshihisa Yamamoto', u'Heath Herring', u'Igor Vovchanchyn', u'Igor Borisov', u'Kazuyuki Fujita', u'Enson Inoue', u'Igor Vovchanchyn', u'Nobuhiko Takada', u'Hugo Duarte', u'Pedro Otavio', u'Branko Cikatic', u'Dwayne Cason', u'Greg Stott', u'Dan Bobish', u'Moti Horenstein']"
Johny Hendricks,"[u'Robbie Lawler', u'Robbie Lawler', u'Georges St-Pierre', u'Carlos Condit', u'Martin Kampmann', u'Josh Koscheck', u'Jon Fitch', u'Mike Pierce', u'Rick Story', u'Charlie Brenneman', u'TJ Grant', u'Ricardo Funch', u'Amir Sadollah', u'Alex Serdyukov', u'Justin Haskins']"
Mike Rhodes,"[u'Robert Whittaker', u'George Sullivan']"
Jason Suttie,[u'Sergei Kharitonov']
Shane Howell,[u'Ray Borg']
Pete Sabala,[u'Anthony Figueroa']
Chris Tickle,[u'Daron Cruickshank']
Lance Benoist,"[u'Bobby Voelker', u'Sean Pierson', u'Seth Baczynski', u'Matthew Riddle']"
Travis Lutter,"[u'Rich Franklin', u'Anderson Silva', u'Patrick Cote', u'Trevor Prangley', u'Matt Lindland', u'Marvin Eastman']"
Masanori Kanehara,"[u'Alex Caceres', u'Norifumi Yamamoto']"
Mairbeck Taisumov,"[u'Marcin Bandel', u'Michel Prazeres']"
Fedor Emelianenko,"[u'Pedro Rizzo', u'Satoshi Ishii', u'Jeff Monson', u'Dan Henderson', u'Fabricio Werdum', u'Brett Rogers', u'Andrei Arlovski', u'Tim Sylvia', u'Matt Lindland', u'Mark Hunt', u'Mark Coleman', u'Mirko Filipovic', u'Tsuyoshi Kohsaka', u'Naoya Ogawa', u'Kevin Randleman', u'Mark Coleman', u'Yuji Nagata', u'Gary Goodridge', u'Kazuyuki Fujita', u'Heath Herring', u'Semmy Schilt']"
Andre Winner,"[u'Anthony Njokuani', u'Dennis Siver', u'Nik Lentz', u'Rafaello Oliveira', u'Rolando Delgado', u'Ross Pearson']"
Joe Ray,"[u'Chris Spang', u'Nah-Shon Burrell', u'John Clarke']"
