Kotetsu Boku,[u'Joachim Hansen']
Ednaldo Oliveira,"[u'Francimar Barroso', u'Gabriel Gonzaga']"
Ian Loveland,"[u'Yves Jabouin', u'Joseph Benavidez', u'Tyler Toner']"
Robert Peralta,"[u'Thiago Tavares', u'Rony Jason', u'Estevan Payan', u'Akira Corassani', u'Jason Young', u'Mackens Semerzier', u'Mike Lullo', u'Hiroyuki Takaya']"
Alexander Trevino,"[u'Rico Altamirano', u'Isaiah Hill', u'Gennaro Strangis', u'Eric Jacob']"
James Terry,"[u'Bobby Green', u'Nah-Shon Burrell', u'Magno Almeida', u'Caros Fodor', u'Josh Thornburg', u'Lucas Gamaza', u'David Marshall', u'Tarec Saffiedine', u'Zak Bucia', u'Zak Bucia']"
Shoji Maruyama,[u'Takeshi Yamazaki']
James Reese,[u'Bobby Green']
Jay Hieron,"[u'Tyron Woodley', u'Jake Ellenberger', u'Joe Riggs', u'Jesse Taylor', u'Jason High', u'Jonathan Goulet', u'Adam Lynn', u'Georges St-Pierre']"
Koji Kitao,"[u'Nathan Jones', u'Mark Hall']"
Bruno Carvalho,[u'Eiji Mitsuoka']
Karl Amoussou,"[u'Kazuhiro Nakamura', u'Trevor Prangley']"
Dan Miller,"[u'Jordan Mein', u'Ricardo Funch', u'Rousimar Palhares', u'Nate Marquardt', u'Joe Doerksen', u'John Salter', u'Michael Bisping', u'Demian Maia', u'Chael Sonnen', u'Jake Rosholt', u'Matt Horwich', u'Rob Kimmons', u'Ryan McGivern', u'Dave Phillips']"
Ricco Rodriguez,"[u'Ben Rothwell', u'Ron Waterman', u'Jimmy Ambriz', u'Ron Waterman', u'Pedro Rizzo', u'Tim Sylvia', u'Randy Couture', u'Tsuyoshi Kohsaka', u'Jeff Monson', u'Pete Williams', u'Andrei Arlovski', u'John Marsh', u'Takayuki Okada', u'Gary Goodridge']"
Nate Quarry,"[u'Jorge Rivera', u'Tim Credeur', u'Jason MacDonald', u'Demian Maia', u'Kalib Starnes', u'Pete Sell', u'Rich Franklin', u'Pete Sell', u'Shonie Carter', u'Lodune Sincaid']"
Lolohea Mahe,[u'Lavar Johnson']
Jan Nortje,"[u'Bob Sapp', u'Yoshihisa Yamamoto']"
Todd Butler,[u'Kevin Jackson']
Kazunori Yokota,[u'Tatsuya Kawajiri']
Matt Ricehouse,"[u'Bobby Green', u'Bill Cooper', u'Ryan Couture', u'Tom Aaron', u'Greg Wilson']"
Brandon Foxworth,[u'Manny Tapia']
Andre Gusmao,"[u'Krzysztof Soszynski', u'Jon Jones']"
